"issue","subject","company","response","product_area","status","request_type","justification"
"I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.","Test Active in the system","HackerRank","Based on the information provided, archived tests are no longer available for inviting candidates or publishing. If you need to make new tests available, you will need to create and assign them separately. Escalated to a human.","test_management","replied","product_issue","Decision replied because No escalation signals fired. Retrieved: hackerrank/archive-a-test-prerequisites-archiving-a-test-restoring-an-archived-test.md, hackerrank/errors-in-test-reports-for-coding-questions.md, hackerrank/lock-a-test-prerequisites-locking-a-test-unlocking-a-test.md."
"site is down & none of the pages are accessible","","HackerRank","Escalated to a human.","website","escalated","bug","Decision escalated because High-risk source consulted: claude/troubleshoot-claude-code-installation-and-authentication.md; High urgency language. Retrieved: hackerrank/steps-to-create-accessible-content-at-hackerrank.md, hackerrank/accessing-skillup-employer-platform.md, claude/troubleshoot-claude-code-installation-and-authentication.md."
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?","HackerRank","Creating a variant is ideal when you want to personalize evaluations based on candidate profiles without altering the core structure of your test. Here are some key points:

- **Advantages of Variants**: 
  - Reuse existing questions or sections.
  - Personalize tests for different candidates or groups.
  - Use routing logic provided by HackerRank for Work.

- **Disadvantages**:
  - Limited to minor adjustments; full test creation is not possible within a variant.

For significant changes, creating a new test might be more appropriate. This allows you to start from scratch or use questions from the HackerRank library and fully customize the test structure.

In summary, variants are best for personalized evaluations, while new tests suit major structural changes.","exam_integrity","replied","product_issue","Decision replied because High-risk source consulted: hackerrank/view-candidate-test-summary-report-summary-report-comparison-accessing-the-summa.md. Retrieved: hackerrank/create-test-variants.md, hackerrank/create-a-test-creating-a-test-additional-test-actions.md, hackerrank/view-candidate-test-summary-report-summary-report-comparison-accessing-the-summa.md."
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time","HackerRank","To reinvite a candidate and add extra time, follow these steps:

1. Navigate to the Candidates tab.
2. Locate the candidate's profile.
3. Click on ""Invite Selected.""
4. In the pop-up, under ""Add Time Accommodation,"" enter 53 minutes (50% of 105 minutes).
5. Confirm and send the reinvitation email.

The email will still show the original duration but will include the additional time for the candidate.","assessment_management","replied","product_issue","Decision replied because No escalation signals fired. Retrieved: hackerrank/reinvite-candidates-to-a-test-prerequisites-reinviting-candidates-to-a-test.md, hackerrank/extend-test-duration-for-candidates-add-time-accommodation-add-extra-time.md, hackerrank/how-to-allow-candidates-to-retake-a-test.md."
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account","","HackerRank","Deleting your HackerRank Community account is permanent and cannot be recovered once deleted. Since you signed up with a Google Workspace account, no separate Hackerrank password was created. To proceed with deleting your account, ensure you have set a password if required by your organization's setup.

To delete your account:
1. Log in to your Google Workspace account.
2. Go to the HackerRank settings and select ""Delete Account.""
3. Follow the prompts to complete the deletion process.

If you encounter any issues during this process, contact HackerRank support for assistance.","account_management","replied","product_issue","Decision replied because High-risk source consulted: hackerrank/log-in-to-hackerrank-with-google-workspace-account.md. Retrieved: hackerrank/manage-account-faqs-account-sign-in-update-or-reset-password-merge-multiple-hack.md, hackerrank/delete-an-account.md, hackerrank/log-in-to-hackerrank-with-google-workspace-account.md."
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?","","Claude","Escalated to a human.","chat_history_management","escalated","product_issue","Decision escalated because High-risk tag(s): pii. Retrieved: claude/i-would-like-to-input-sensitive-data-into-my-chats-with-claude-who-can-view-my-c.md, claude/use-claudes-chat-search-and-memory-to-build-on-previous-context.md, claude/how-can-i-delete-or-rename-a-conversation.md."
"What is the name of the actor in Iron Man?","Urgent, please help","Claude","Escalated to a human.","General","replied","feature_request","Decision replied because High-risk source consulted: claude/what-is-the-external-researcher-access-program.md. Retrieved: claude/what-is-the-external-researcher-access-program.md, hackerrank/clone-an-ai-interviewer-prerequisite-cloning-an-ai-interviewer.md, hackerrank/how-to-rename-a-test.md."
"I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?","","Visa","Report the loss or theft of your Visa Traveller's Cheques immediately by contacting the issuing bank, which is Citicorp in this case. You will need to provide them with the cheque serial numbers and purchase information. A refund process typically takes 24 hours, subject to meeting certain terms and conditions. It’s also advisable to notify the police about the theft.","security","replied","product_issue","Decision replied because High-risk source consulted: visa/visa-travellers-cheques-for-consumers.md. Retrieved: visa/visa-travellers-cheques-for-consumers.md, visa/how-to-accept-visa-travellers-cheques.md, visa/consumer.md."
"Where can I report a lost or stolen Visa card from India?","Card stolen","Visa","To report a lost or stolen Visa card, you should contact your issuing bank. They will guide you through the process of reporting the loss and replacing the card. Additionally, you can report fraud directly to Visa by visiting [this link](https://www.visa.co.in/support/consumer.html).","billing","replied","product_issue","Decision replied because High-risk source consulted: visa/visa-travellers-cheques-for-consumers.md. Retrieved: visa/visa-travellers-cheques-for-consumers.md, visa/consumer.md, visa/merchant.md."
"Thank you for helping me","","Claude","This appears to be outside the scope of our supported product areas. Please rephrase with a specific issue or question, or contact us through an official channel for further help.","General","replied","invalid","Decision replied because Invalid/out-of-scope reply. Retrieved: claude/my-prompt-isnt-giving-me-a-helpful-answer.md, claude/using-the-blackbaud-connector-in-claude.md, claude/i-created-a-claude-console-organization-how-do-i-start-using-the-claude-api.md."
